location,price,house-details
"4 BHK Apartment / Flat for Sale  Vasant Vihar, New Delhi",8Cr, Area400 Sq Yd. FacingEast StatusReady to Move 
"3 BHK Apartment / Flat for Sale  GH 13 Paschim Vihar, New Delhi",1.7Cr, Area1200 Sq Ft. FacingSouth-East StatusReady to Move 
"2 BHK Apartment / Flat for Sale  GH 13 Paschim Vihar, New Delhi",1.25Cr, Area1200 Sq Ft. FacingNorth-East StatusReady to Move 
"3 BHK Apartment / Flat for Sale  Dwarka Sector 7, New Delhi",85Lac, Area1300 Sq Ft. FacingNorth StatusUnder Construction 
"3 BHK Apartment / Flat for Sale  Karampura, New Delhi",1.78Cr, Area1581 Sq Ft. FacingNorth-East StatusReady to Move 
"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi",4.81Cr, Area2234 Sq Ft. FacingNorth-East StatusUnder Construction 
"2 BHK Apartment / Flat for Sale  Chirag Delhi, New Delhi",45Lac, Area80 Sq Yd. FacingSouth StatusReady to Move 
"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi",4.82Cr, Area2234 Sq Ft. FacingNorth-East StatusUnder Construction 
"3 BHK Apartment / Flat for Sale  New Friends Colony, New Delhi",3.5Cr, Area250 Sq Yd. FacingSouth-East StatusReady to Move 
"2 BHK Studio Apartment for Sale  Paschim Vihar, New Delhi",1.2Cr, Area1000 Sq Ft. FacingEast StatusReady to Move 
