location,price,house-details
"2 BHK Apartment / Flat for Sale  GH 13 Paschim Vihar, New Delhi",1.25Cr, Area1200 Sq Ft. FacingNorth-East StatusReady to Move 
"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi",4.81Cr, Area2234 Sq Ft. FacingNorth-East StatusUnder Construction 
"2 BHK Apartment / Flat for Sale  Chirag Delhi, New Delhi",45Lac, Area80 Sq Yd. FacingSouth StatusReady to Move 
"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi",4.82Cr, Area2234 Sq Ft. FacingNorth-East StatusUnder Construction 
"2 BHK Studio Apartment for Sale  Paschim Vihar, New Delhi",1.2Cr, Area1000 Sq Ft. FacingEast StatusReady to Move 
"2 BHK Apartment / Flat for Sale  Paschim Vihar, New Delhi",1.2Cr, Area1200 Sq Ft. FacingSouth-East StatusReady to Move 
"2 BHK Apartment / Flat for Sale  Paschim Vihar, New Delhi",1.6Cr, Area1200 Sq Ft. FacingSouth-East StatusReady to Move 
"2 BHK Apartment / Flat for Sale  Moti Nagar, New Delhi",1.55Cr, Area1387 Sq Ft. FacingNorth-East StatusReady to Move 
"2 BHK Apartment / Flat for Sale  Govindpuri Main, New Delhi",30Lac, Area900 Sq Yd. FacingEast StatusReady to Move 
"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi",4.49Cr, Area2234 Sq Ft. FacingNorth-East StatusUnder Construction 
